id,kills,kd,dmg,deaths,hsPct
127364889490544550,1,0.90,453,2,100%
127364889490544550,8,1.43,3019,2,38%
127364889490544550,4,0.95,942,3,0%
127364889490544550,1,0.98,453,3,100%
127364889490544550,5,0.90,2784,2,0%
127364889490544550,2,0.96,935,3,0%
127364889490544550,1,1.16,1142,3,0%
127364889490544550,8,2.03,2352,3,38%
127364889490544550,4,1.32,1364,3,25%
127364889490544550,1,0.95,613,3,0%
127364889490544550,6,1.07,2309,2,17%
127364889490544550,0,0.94,220,3,0%
127364889490544550,0,0.78,200,3,0%
127364889490544550,4,0.95,1905,2,0%
127364889490544550,3,0.99,930,2,33%
127364889490544550,0,0.70,368,2,0%
127364889490544550,4,1.27,1616,3,0%
127364889490544550,2,0.94,983,3,0%
127364889490544550,0,0.79,1001,3,0%
127364889490544550,4,0.74,1246,2,0%
127364889490544550,3,0.72,1456,2,33%
127364889490544550,0,0.85,536,2,0%
127364889490544550,6,1.33,2175,2,33%
127364889490544550,3,1.26,1020,2,0%
127364889490544550,2,0.93,707,2,0%
127364889490544550,1,1.14,368,2,0%
127364889490544550,0,1.03,511,2,0%
127364889490544550,0,0.92,164,1,0%
127364889490544550,3,0.75,762,2,0%
127364889490544550,2,1.09,1462,2,100%
127364889490544550,1,0.75,238,2,0%
127364889490544550,2,0.71,1156,2,0%
127364889490544550,1,0.34,836,2,0%
127364889490544550,0,0.83,360,2,0%
127364889490544550,2,1.48,1113,2,0%
127364889490544550,0,0.94,170,2,0%
127364889490544550,4,1.35,1718,2,0%
127364889490544550,3,1.29,1370,2,67%
127364889490544550,1,1.11,728,2,0%
127364889490544550,2,0.39,496,2,0%
127364889490544550,1,0.50,118,2,100%
127364889490544550,2,1.22,1131,2,0%
127364889490544550,1,0.60,566,2,0%
127364889490544550,1,0.67,416,2,0%
127364889490544550,2,0.97,616,2,0%
127364889490544550,1,0.64,385,2,100%
127364889490544550,0,0.66,14,3,0%
127364889490544550,1,1.35,527,2,0%
127364889490544550,0,0.62,116,3,0%
127364889490544550,3,1.23,925,2,0%
127364889490544550,1,1.85,644,2,0%
127364889490544550,0,0.49,218,2,0%
127364889490544550,1,0.59,796,2,100%
127364889490544550,1,0.70,302,2,0%
127364889490544550,1,0.93,419,2,0%
127364889490544550,1,-,218,2,0%
127364889490544550,0,1.14,269,2,0%
127364889490544550,0,0.19,77,2,0%
127364889490544550,2,0.81,833,2,50%
127364889490544550,1,1.24,353,2,100%
127364889490544550,1,0.70,258,2,0%
127364889490544550,2,1.29,667,2,50%
127364889490544550,2,0.73,1199,2,0%
127364889490544550,1,0.41,236,1,0%
127364889490544550,2,0.59,1164,2,0%
127364889490544550,1,1.02,410,2,100%
127364889490544550,0,0.39,194,2,0%
127364889490544550,1,1.24,112,2,0%
127364889490544550,0,0.66,102,2,0%
127364889490544550,0,0.61,44,2,0%
127364889490544550,1,0.93,456,2,100%
127364889490544550,1,0.66,337,2,0%
127364889490544550,1,0.91,408,2,0%
127364889490544550,1,0.93,188,1,0%
127364889490544550,0,1.42,121,2,0%
127364889490544550,0,0.93,56,2,0%
127364889490544550,1,0.96,336,2,0%
127364889490544550,0,1.06,108,2,0%
127364889490544550,0,1.05,203,2,0%
127364889490544550,1,0.72,464,2,0%
127364889490544550,0,1.02,252,2,0%
127364889490544550,0,0.39,188,2,0%
127364889490544550,1,1.01,474,2,100%
127364889490544550,1,1.31,300,2,0%
127364889490544550,0,1.18,158,2,0%
127364889490544550,0,0.85,184,2,0%
127364889490544550,0,0.57,278,2,0%
127364889490544550,0,0.53,44,2,0%
127364889490544550,0,0.27,0,1,0%
127364889490544550,0,0.90,0,0,0%
6320684864520723223,8,1.71,4057,0,25%
6320684864520723223,4,0.52,1463,1,50%
6320684864520723223,3,0.73,1533,4,0%
6320684864520723223,6,1.53,2734,3,33%
6320684864520723223,5,1.05,1960,1,20%
