gameid,avg_kd,sum_likelihood
6974210204572891033,0.9571522927604216,142,0.07349177904165156
13964735436776291292,1.0384256532218024,138,0.7147568648608361
2204661874394114236,0.8445034692081186,144,1.8864326544454906e-06
12062424517240774015,0.7274526950211154,143,9.066120124440509e-17
14205699322978694890,1.051444053531794,148,0.8129189331694621
61577369614838231,1.1386582963282794,150,0.9889318774263962
15152628731068585087,1.1322347256911398,145,0.9877331815808384
8709450667887923384,1.1774731081128245,138,0.9914888157675816
8153444988355855464,1.1250989527610302,144,0.9857285257851794
14061050762177007495,0.8980229899626908,142,0.001132867523453018
17388092766699507293,0.8591732386775005,147,1.144235153399097e-05
15828789662211682583,1.0276988215811804,138,0.6249338445054159
10597032549785898424,1.188120469274932,149,0.9910031672150095
3801372495011739724,1.2680802892868448,141,0.9915436794743814
3330577230743650466,1.2573211606500365,149,0.9910660076330268
17659111943689070019,1.2448552569301317,147,0.9911848979934851
13846613808983741952,1.081965378203859,148,0.93924221992931
3112155634835822794,0.8774184649066027,143,0.00013099232407556434
2737551278158652089,1.35201222719696,144,0.9913646996608729
1705689686982174491,1.0350178780485415,76,0.6498607882054999
18109909582322027581,0.8578756870047992,140,1.5347584848870448e-05
16751709457125709098,0.8155914985695192,39,0.0022662178896939176
13561065696200122833,1.0920183369478724,148,0.9592182733333998
6682343239190265410,0.9099298893578676,146,0.002874861694453036
11868231266249287160,1.0632473914080833,143,0.8723543847842635
8106696276923610015,1.0537515337124348,152,0.8296072929388426
3693141268211070219,1.0284712325045529,78,0.6064789977342039
6699985812516132781,1.1941791567527607,146,0.9911987807192539
8002699227517457856,0.8497914466567119,145,3.6987422462865267e-06
15732106455724367510,0.9803529430095465,40,0.3367947586377167
16140744992870705523,1.4054474765332814,39,0.9975920736765577
4234519413471177111,1.0407522382456027,36,0.6431071286771939
15939601326709746106,1.0092122929889629,39,0.4887071233308993
13862367349620590532,1.0777065591613508,39,0.7957360247189696
7000941162468829107,1.098090996220895,40,0.8586553198325749
13502515439874976171,0.9475298542808386,38,0.19726501661607193
4676559644603622053,0.7933527182111348,136,1.0081597858669413e-09
12779429872714812607,0.9591854049565814,146,0.07842859623981911
11488754330345922153,0.7229369540624633,34,2.3639779855387507e-05
6942584235972917601,0.6887686852937058,137,6.958088626765883e-21
10542449666322840170,0.9955425921076221,149,0.31709447321586554
2722303264998973552,1.2508433571495123,148,0.9911255157848378
5309112050063555266,1.0533727152637598,147,0.8232747020815936
13994176698697147238,1.25334728073777,143,0.9914239381835347
2166047615941986896,1.0847521592827158,140,0.9416686878268474
1441332587498092647,1.1120938712959076,148,0.9801281930643262
5318106549482163234,1.1512084074525806,38,0.947789061904173
3096433045915094648,1.1687262557055573,39,0.9653427841983714
16810517410473045127,1.2328135578178516,39,0.9908199375713724
1056845411495915771,1.1699981222372473,36,0.9613822531315652
13742180126436217346,1.1046764921487688,40,0.8754752688353538
16906755827772650539,1.0763521641126486,38,0.7892310200858503
97542495729037783,1.1948964705211067,143,0.9913728977318208
18315409491773119647,1.058383244328188,149,0.8526442230393071
7387086876978033092,1.0126169485399406,140,0.48297986731028486
1036928477534579993,0.9787386397299396,147,0.1822561233913059
2937058560062691786,0.8921544835081132,149,0.00048756460889841336
2902021877886178600,0.8694242071640667,148,3.9758953085102784e-05
17155340011383348985,0.9129208241132135,145,0.0038076632610436908
18027400234264107327,0.9461408677356465,145,0.03920667127928202
7479277627794267115,1.3494479693736294,149,0.9910662061435496
9016647174923516761,1.2702955415585813,142,0.9914840023517384
14741691826715926211,1.0775587606322676,38,0.7922529542995023
6670153086861667277,1.2641351929160627,144,0.9913645292527108
2055498442748002043,0.9831802543432197,145,0.21619508562857845
2003194141520531933,1.138508210580415,132,0.9885400825120346
11967991212836616117,1.283085722156486,146,0.9912452656765162
13152498022671689978,1.2173583231562293,141,0.9915334398506769
6920169340859071133,0.7358693290969218,38,2.1819859936298364e-05
17697209535753192458,1.1090471865540168,37,0.8769504662557741
1925392170328181034,0.7848987042899831,135,2.344693571830305e-10
16343681231030847670,0.822326925668728,142,7.685236977399092e-08
1681208900083411992,0.8505506931501332,146,3.7921716731913315e-06
13167945979380577606,0.8828573075530232,145,0.00021749415667078267
7642189905964501014,0.9711396628175688,148,0.13399915410572086
1451806164039353225,0.9499566916177893,142,0.05051927245726497
6981672701833138465,0.8153981912668102,142,2.4220820527157477e-08
26882277584273743,1.343527290972607,149,0.991066206118058
11155296508484608274,0.9252577230073731,144,0.010217372048672624
8766014046932622402,0.902180188384034,146,0.0014499872036350119
13150055644384387158,1.2944801541131548,135,0.9919021840935602
17147411437207599214,1.0630210459057643,148,0.8744896089480889
8512287129125298079,1.3538740143865708,146,0.9912452914787786
5363365574765306780,1.004739737402069,146,0.4052612566652584
9615043383948403347,1.1065521586174334,150,0.9765663984156612
15766965500885950543,0.8984378165636631,145,0.0010576583928674794
2828339628699928544,0.9219153277376457,147,0.007416168849969279
10568777413032109670,1.256711429887917,140,0.9916031017956543
10842244297376456363,1.236641737680366,148,0.9911245900195571
10733367395267454039,0.9724438526804515,38,0.30328235944074156
8442050800897333268,0.9680719865440988,146,0.1186534504914724
7452003154985235998,0.92789958431636,91,0.03792721677268656
16135602541597731318,0.9714917813484747,149,0.13504978241776083
431747910267260772,1.0224054931129383,150,0.5783367599544965
8175477210377432845,1.1323885135404026,143,0.9876869151624539
10043183731133216402,1.2323592520316469,144,0.9913621777823842
7090347584943686659,1.035455187509863,35,0.6158889912020569
893219628129243194,1.024491407204781,143,0.5969902737620415
2424964674066039415,0.9359731132310685,146,0.020679378786475692
13747364549266607526,0.9953056860391559,139,0.32074533392160864
15776898921055484227,0.9796620221790407,35,0.346886351967007
5986881281942697943,1.1976232857859261,140,0.9915537262082886
